,area,local_price,latitud,longitud,tipology,n_rooms,n_baths,has_garage,has_pool,has_elevator,is_exterior,cluster
0,135,3200,40.437686920166,-3.6910548210144,Piso,1.0,1.0,f,f,t,t,5
1,250,6000,40.4394340515137,-3.68623304367065,Piso,4.0,4.0,t,t,t,t,1
2,146,2460,40.4680366516113,-3.70866084098816,Piso,1.0,1.0,t,t,t,t,4
3,98,3000,40.4412117004395,-3.670405626297,Piso,1.0,1.0,f,f,f,t,5
4,125,3675,40.411247253418,-3.66822195053101,Piso,1.0,1.0,t,t,t,t,5
5,70,3000,40.4515914916992,-3.61715149879456,Piso,1.0,1.0,f,t,f,t,5
6,218,9450,40.4233589172363,-3.67803144454956,Piso,1.0,1.0,f,f,t,t,1
7,195,5400,40.4283561706543,-3.67136120796204,Piso,1.0,1.0,f,f,t,t,1
8,160,3600,40.4265327453613,-3.6959490776062,Piso,1.0,1.0,f,f,t,t,5
9,110,3000,40.4183616638184,-3.71433162689209,Piso,1.0,1.0,f,f,f,f,5
10,28,1350,40.4027709960938,-3.69060468673706,Piso,0.0,1.0,t,f,f,t,0
11,120,3750,40.4211349487305,-3.69734048843384,Piso,1.0,1.0,f,f,t,t,5
12,131,7500,40.4238510131836,-3.69481062889099,Piso,1.0,1.0,f,f,t,t,1
13,350,9000,40.4236183166504,-3.68003630638123,Piso,4.0,4.0,t,f,t,t,1
14,55,850,40.4381294250488,-3.67313122749329,Piso,1.0,1.0,f,f,f,t,0
15,342,4200,40.4708442687988,-3.72770309448242,Piso,5.0,5.0,t,t,t,t,1
16,76,1900,40.4104194641113,-3.70362019538879,Piso,1.0,1.0,f,f,t,t,4
17,75,950,40.4694109,-3.6469803,Piso,1.0,1.0,f,t,t,t,0
18,55,1250,40.4126091003418,-3.7302348613739,Piso,1.0,1.0,f,f,f,f,0
19,160,4153,40.4207496643066,-3.67730784416199,Piso,4.0,1.0,f,f,t,t,1
20,33,795,40.3578300476074,-3.59558153152466,Piso,0.0,1.0,t,t,t,t,0
21,98,2400,40.4348678588867,-3.68475294113159,Piso,1.0,1.0,t,f,t,t,4
22,52,1750,40.427303314209,-3.71414184570312,Piso,1.0,1.0,f,f,t,t,4
23,55,1800,40.4558372497559,-3.68196535110474,Piso,1.0,1.0,t,f,t,t,4
24,155,1800,40.453540802002,-3.59648299217224,Piso,1.0,1.0,t,f,t,t,4
25,110,4200,40.4280052185059,-3.68695020675659,Piso,1.0,1.0,f,f,t,t,1
26,85,2500,40.4114723205566,-3.70964932441711,Piso,1.0,1.0,f,t,t,t,4
27,300,8500,40.4237747192383,-3.68765354156494,Piso,1.0,1.0,f,f,t,t,1
28,70,1100,40.4265659,-3.7083449,Piso,1.0,1.0,f,f,f,t,0
29,65,2170,40.4229393005371,-3.66852259635925,Piso,1.0,1.0,f,f,f,f,4
30,65,950,40.427433013916,-3.70794415473938,Piso,0.0,1.0,f,f,f,f,0
31,269,3500,40.4574966430664,-3.65555191040039,Piso,4.0,1.0,t,t,t,t,5
32,63,2550,40.4270896911621,-3.67576861381531,Piso,1.0,1.0,f,f,t,t,4
33,78,1270,40.359245300293,-3.59189438819885,Piso,1.0,1.0,t,t,t,t,0
